uid,branch,fixed2_rate,optimistic_oracle2_rate,loo_oracle2_rate,optimistic_pair,loo_pair_consistency,head0_rate,head1_rate,head2_rate,head3_rate
training_seed73000_samplerv2::dual::dual-00045,dual,0.0,0.2,0.0,0+2,0.8,0.0,0.0,0.2,0.0
training_seed73000_samplerv2::dual::dual-00048,dual,1.0,1.0,1.0,0+1,1.0,0.0,1.0,0.0,0.0
training_seed73000_samplerv2::dual::dual-00050,dual,1.0,1.0,1.0,0+1,1.0,1.0,1.0,0.0,1.0
training_seed73000_samplerv2::dual::dual-00051,dual,0.0,0.4,0.4,0+2,1.0,0.0,0.0,0.4,0.0
training_seed73000_samplerv2::dual::dual-00053,dual,0.0,1.0,1.0,0+2,1.0,0.0,0.0,1.0,0.0
training_seed73000_samplerv2::dual::dual-00054,dual,0.0,1.0,1.0,0+2,1.0,0.0,0.0,1.0,0.0
training_seed73000_samplerv2::dual::dual-00055,dual,1.0,1.0,1.0,0+1,1.0,0.6,1.0,0.0,1.0
training_seed73000_samplerv2::dual::dual-00056,dual,0.0,0.0,0.0,0+1,1.0,0.0,0.0,0.0,0.0
training_seed73000_samplerv2::dual::dual-00058,dual,0.0,0.6,0.6,0+2,1.0,0.0,0.0,0.6,0.0
training_seed73000_samplerv2::dual::dual-00059,dual,0.0,0.0,0.0,0+1,1.0,0.0,0.0,0.0,0.0
training_seed73000_samplerv2::dual::dual-00060,dual,0.0,0.0,0.0,0+1,1.0,0.0,0.0,0.0,0.0
training_seed73000_samplerv2::dual::dual-00065,dual,0.0,0.0,0.0,0+1,1.0,0.0,0.0,0.0,0.0
training_seed73000_samplerv2::dual::dual-00066,dual,0.0,0.0,0.0,0+1,1.0,0.0,0.0,0.0,0.0
training_seed73000_samplerv2::dual::dual-00069,dual,0.0,0.0,0.0,0+1,1.0,0.0,0.0,0.0,0.0
training_seed73000_samplerv2::dual::dual-00070,dual,0.0,0.0,0.0,0+1,1.0,0.0,0.0,0.0,0.0
training_seed73000_samplerv2::dual::dual-00071,dual,0.0,0.0,0.0,0+1,1.0,0.0,0.0,0.0,0.0
training_seed73000_samplerv2::dual::dual-00072,dual,0.0,0.0,0.0,0+1,1.0,0.0,0.0,0.0,0.0
training_seed73000_samplerv2::dual::dual-00075,dual,0.8,0.8,0.8,0+1,1.0,0.0,0.8,0.0,0.0
training_seed73000_samplerv2::dual::dual-00076,dual,0.0,0.0,0.0,0+1,1.0,0.0,0.0,0.0,0.0
training_seed73000_samplerv2::dual::dual-00078,dual,1.0,1.0,1.0,0+1,1.0,0.0,1.0,0.0,1.0
training_seed73000_samplerv2::dual::dual-00079,dual,0.2,0.2,0.2,0+1,1.0,0.2,0.2,0.2,0.2
training_seed73000_samplerv2::dual::dual-00080,dual,1.0,1.0,1.0,0+1,1.0,0.4,1.0,0.0,0.8
training_seed73000_samplerv2::dual::dual-00081,dual,0.0,0.0,0.0,0+1,1.0,0.0,0.0,0.0,0.0
training_seed73000_samplerv2::dual::dual-00082,dual,0.0,0.0,0.0,0+1,1.0,0.0,0.0,0.0,0.0
training_seed73000_samplerv2::dual::dual-00083,dual,0.0,0.0,0.0,0+1,1.0,0.0,0.0,0.0,0.0
training_seed73000_samplerv2::dual::dual-00087,dual,0.0,0.0,0.0,0+1,1.0,0.0,0.0,0.0,0.0
training_seed73000_samplerv2::dual::dual-00088,dual,1.0,1.0,1.0,0+1,1.0,0.8,1.0,0.0,1.0
training_seed73000_samplerv2::dual::dual-00089,dual,0.0,0.0,0.0,0+1,1.0,0.0,0.0,0.0,0.0
training_seed73000_samplerv2::dual::dual-00090,dual,0.0,0.0,0.0,0+1,1.0,0.0,0.0,0.0,0.0
training_seed73000_samplerv2::dual::dual-00091,dual,0.0,0.0,0.0,0+1,1.0,0.0,0.0,0.0,0.0
training_seed73000_samplerv2::dual::dual-00093,dual,0.0,0.0,0.0,0+1,1.0,0.0,0.0,0.0,0.0
training_seed73000_samplerv2::dual::dual-00094,dual,0.0,0.0,0.0,0+1,1.0,0.0,0.0,0.0,0.0
training_seed73000_samplerv2::dual::dual-00095,dual,0.0,0.0,0.0,0+1,1.0,0.0,0.0,0.0,0.0
training_seed73000_samplerv2::dual::dual-00096,dual,0.0,0.6,0.6,0+2,1.0,0.0,0.0,0.6,0.0
training_seed73000_samplerv2::dual::dual-00097,dual,0.0,0.0,0.0,0+1,1.0,0.0,0.0,0.0,0.0
training_seed73000_samplerv2::dual::dual-00098,dual,0.2,0.2,0.2,0+1,1.0,0.0,0.2,0.0,0.0
training_seed73000_samplerv2::dual::dual-00099,dual,0.0,0.8,0.8,0+2,1.0,0.4,0.0,0.8,0.0
training_seed73000_samplerv2::dual::dual-00103,dual,1.0,1.0,1.0,0+1,1.0,0.2,1.0,0.0,0.6
training_seed73000_samplerv2::dual::dual-00104,dual,0.0,0.4,0.4,0+2,1.0,0.0,0.0,0.4,0.0
