run,vehicle,scenario,header_status,channels,points_declared,has_object_reference_actual_xy,has_head_tracker_reference_actual_xy,has_spt_reference_actual,has_launchpad_low_level,has_can_user_defined,explicit_aeb_fcw_channels,error
13-xiaopengG9/3-Euro NCAP AEB Car-to-Car 2020 Group (VUT)/1-Tuning/7-Force tuning check/V13_T7_R2.txt,13-xiaopengG9,AEB,data_export,409,1582,True,True,False,False,False,,
13-xiaopengG9/3-Euro NCAP AEB Car-to-Car 2020 Group (VUT)/1-Tuning/7-Force tuning check/V13_T7_R3.txt,13-xiaopengG9,AEB,data_export,409,1583,True,True,False,False,False,,
13-xiaopengG9/3-Euro NCAP AEB Car-to-Car 2020 Group (VUT)/1-Tuning/7-Force tuning check/V13_T7_R4.txt,13-xiaopengG9,AEB,data_export,409,1582,True,True,False,False,False,,
13-xiaopengG9/3-Euro NCAP AEB Car-to-Car 2020 Group (VUT)/1-Tuning/7-Force tuning check/V13_T7_R5.txt,13-xiaopengG9,AEB,data_export,409,1581,True,True,False,False,False,,
13-xiaopengG9/3-Euro NCAP AEB Car-to-Car 2020 Group (VUT)/1-Tuning/7-Force tuning check/V13_T7_R6.txt,13-xiaopengG9,AEB,data_export,409,1581,True,True,False,False,False,,
13-xiaopengG9/3-Euro NCAP AEB Car-to-Car 2020 Group (VUT)/1-Tuning/7-Force tuning check/V13_T7_R7.txt,13-xiaopengG9,AEB,data_export,409,1581,True,True,False,False,False,,
13-xiaopengG9/3-Euro NCAP AEB Car-to-Car 2020 Group (VUT)/1-Tuning/7-Force tuning check/V13_T7_R8.txt,13-xiaopengG9,AEB,data_export,409,1580,True,True,False,False,False,,
13-xiaopengG9/3-Euro NCAP AEB Car-to-Car 2020 Group (VUT)/1-Tuning/7-Force tuning check/V13_T7_R9.txt,13-xiaopengG9,AEB,data_export,409,1578,True,True,False,False,False,,
13-xiaopengG9/3-Euro NCAP AEB Car-to-Car 2020 Group (VUT)/10-AEB/11-CCRs [8.2.3]/280-AEB CCRs 20 kph -50 %/CurrentTestSpec.txt,13-xiaopengG9,CCRS,metadata_not_data_export,,,,,,,,,
13-xiaopengG9/3-Euro NCAP AEB Car-to-Car 2020 Group (VUT)/10-AEB/11-CCRs [8.2.3]/280-AEB CCRs 20 kph -50 %/V13_T280_R1.txt,13-xiaopengG9,CCRS,data_export,409,6514,True,True,False,False,False,,
13-xiaopengG9/3-Euro NCAP AEB Car-to-Car 2020 Group (VUT)/10-AEB/11-CCRs [8.2.3]/283-AEB CCRs 30 kph +50 %/CurrentTestSpec.txt,13-xiaopengG9,CCRS,metadata_not_data_export,,,,,,,,,
13-xiaopengG9/3-Euro NCAP AEB Car-to-Car 2020 Group (VUT)/10-AEB/11-CCRs [8.2.3]/283-AEB CCRs 30 kph +50 %/V13_T283_R1.txt,13-xiaopengG9,CCRS,data_export,409,4247,True,True,False,False,False,,
13-xiaopengG9/3-Euro NCAP AEB Car-to-Car 2020 Group (VUT)/10-AEB/11-CCRs [8.2.3]/286-AEB CCRs 40 kph -50 %/CurrentTestSpec.txt,13-xiaopengG9,CCRS,metadata_not_data_export,,,,,,,,,
13-xiaopengG9/3-Euro NCAP AEB Car-to-Car 2020 Group (VUT)/10-AEB/11-CCRs [8.2.3]/286-AEB CCRs 40 kph -50 %/V13_T286_R1.txt,13-xiaopengG9,CCRS,data_export,409,3408,True,True,False,False,False,,
13-xiaopengG9/3-Euro NCAP AEB Car-to-Car 2020 Group (VUT)/2-Conditioning/3-New Vehicle Conditioning/10-Brakes ABS method A (3 @ 72 kph) [8.1.2.1]/CurrentTestSpec.txt,13-xiaopengG9,AEB,metadata_not_data_export,,,,,,,,,
13-xiaopengG9/3-Euro NCAP AEB Car-to-Car 2020 Group (VUT)/2-Conditioning/3-New Vehicle Conditioning/10-Brakes ABS method A (3 @ 72 kph) [8.1.2.1]/V13_T10_R1.txt,13-xiaopengG9,AEB,data_export,409,775,True,True,False,False,False,,
13-xiaopengG9/3-Euro NCAP AEB Car-to-Car 2020 Group (VUT)/2-Conditioning/3-New Vehicle Conditioning/10-Brakes ABS method A (3 @ 72 kph) [8.1.2.1]/V13_T10_R2.txt,13-xiaopengG9,AEB,data_export,409,780,True,True,False,False,False,,
13-xiaopengG9/3-Euro NCAP AEB Car-to-Car 2020 Group (VUT)/2-Conditioning/3-New Vehicle Conditioning/10-Brakes ABS method A (3 @ 72 kph) [8.1.2.1]/V13_T10_R3.txt,13-xiaopengG9,AEB,data_export,409,776,True,True,False,False,False,,
13-xiaopengG9/3-Euro NCAP AEB Car-to-Car 2020 Group (VUT)/2-Conditioning/3-New Vehicle Conditioning/13-Tyres (3x10 @ 56 kph) [8.1.3.1]/CurrentTestSpec.txt,13-xiaopengG9,AEB,metadata_not_data_export,,,,,,,,,
