run,vehicle,scenario,event_status,sha256,operator_label,onset_s,onset_speed_kph,travel_pre_mm,travel_win_mm,force_min_pre,force_max_pre,force_min_win,force_max_win,cmd_abs_max_pre2,cmd_abs_max_pre5,cmd_abs_max_win,cmd_active_frac_win,cmd_first_active_rel_s,pre_pulse_gap_s,tension,foot_pre_event,screen_flag_noisy,signature,screen_class
9-BZ7/7-C-IASI VRU 2024 (VUT)/19-CPFAO [O.6.1.8]/20-CPFAO-50  5kph AEB(night)/448-VUT 40 kph; CPFAO-50 (1)/V9_T448_R2.txt,9-BZ7,AEB,robot_channel_active,94a8d99d5c551f3f19633b2a0390e136a15376b16ed778168abc897c4127c772,,26.82,39.39,0.018,27.066,-2.58,2.13,-2.47,143.65,0.0,0.0,0.028,0.0,,,0,0,1,foot_compression,foot_compression
9-BZ7/7-C-IASI VRU 2024 (VUT)/19-CPFAO [O.6.1.8]/20-CPFAO-50  5kph AEB(night)/448-VUT 40 kph; CPFAO-50/V9_T448_R2.txt,9-BZ7,AEB,robot_channel_active,94a8d99d5c551f3f19633b2a0390e136a15376b16ed778168abc897c4127c772,,26.82,39.39,0.018,27.066,-2.58,2.13,-2.47,143.65,0.0,0.0,0.028,0.0,,,0,0,1,foot_compression,foot_compression
9-BZ7/7-C-IASI VRU 2024 (VUT)/19-CPFAO [O.6.1.8]/21-CPNA-25 5 kph AEB (Night)/460-VUT 60 kph; CPFAO-25 6.5 kph AEB (Night) (1)/V9_T460_R1.txt,9-BZ7,CPNA,robot_channel_active,7c74891f152eb2cafd904df522afe15cf779f0360ac9f82119a32166d2b97eda,,23.6,60.28,0.044,37.046,-1.6,2.97,-0.93,102.27,0.0,0.0,0.03,0.0,,,0,0,1,foot_compression,foot_compression
9-BZ7/7-C-IASI VRU 2024 (VUT)/19-CPFAO [O.6.1.8]/21-CPNA-25 5 kph AEB (Night)/460-VUT 60 kph; CPFAO-25 6.5 kph AEB (Night)/V9_T460_R1.txt,9-BZ7,CPNA,robot_channel_active,7c74891f152eb2cafd904df522afe15cf779f0360ac9f82119a32166d2b97eda,,23.6,60.28,0.044,37.046,-1.6,2.97,-0.93,102.27,0.0,0.0,0.03,0.0,,,0,0,1,foot_compression,foot_compression
9-BZ7/7-C-IASI VRU 2024 (VUT)/30-CSFA [O.6.2.6]/31-CSFA-50 20 kph AEB (Day)/502-VUT 20 kph; CSFA-50 20 kph AEB (Day) (1)/V9_T502_R2.txt,9-BZ7,AEB,robot_channel_active,8961e18e5b2fa3ce986fc7d04b02fcb15712bccc3b00ae7557295dd8f3951a78,,38.36,20.43,0.01,21.617,-3.59,3.72,-1.95,56.81,0.0,0.0,0.028,0.0,,,0,0,1,foot_compression,foot_compression
9-BZ7/7-C-IASI VRU 2024 (VUT)/30-CSFA [O.6.2.6]/31-CSFA-50 20 kph AEB (Day)/502-VUT 20 kph; CSFA-50 20 kph AEB (Day)/V9_T502_R2.txt,9-BZ7,AEB,robot_channel_active,8961e18e5b2fa3ce986fc7d04b02fcb15712bccc3b00ae7557295dd8f3951a78,,38.36,20.43,0.01,21.617,-3.59,3.72,-1.95,56.81,0.0,0.0,0.028,0.0,,,0,0,1,foot_compression,foot_compression
9-BZ7/8-C-NCAP VRU 2024 (VUT)/17-CPNCO [O.6.1.7]/18-CPNCO-25 5 kph AEB (Day)/616-VUT 60 kph; CPNCO-25 5 kph AEB (Day) (1)/V9_T616_R1.txt,9-BZ7,CPNCO,robot_channel_active,9ae23c97c22b57917804d5c78cde036ccff8b6d4e31cdefa9a783328913f2780,,19.04,60.58,0.0,36.945,-0.45,5.84,3.06,175.19,0.0,0.0,0.039,0.0,,,0,0,1,foot_compression,foot_compression
9-BZ7/8-C-NCAP VRU 2024 (VUT)/17-CPNCO [O.6.1.7]/18-CPNCO-25 5 kph AEB (Day)/616-VUT 60 kph; CPNCO-25 5 kph AEB (Day) (1)/V9_T616_R2.txt,9-BZ7,CPNCO,robot_channel_active,94f74fdece56749b5acce82f5a12563ce8ef68827e5018aa55a115a304394003,,18.93,60.5,0.0,25.528,-1.58,3.05,0.96,130.44,0.0,0.0,0.031,0.0,,,0,0,1,foot_compression,foot_compression
9-BZ7/8-C-NCAP VRU 2024 (VUT)/17-CPNCO [O.6.1.7]/18-CPNCO-25 5 kph AEB (Day)/616-VUT 60 kph; CPNCO-25 5 kph AEB (Day)/V9_T616_R1.txt,9-BZ7,CPNCO,robot_channel_active,9ae23c97c22b57917804d5c78cde036ccff8b6d4e31cdefa9a783328913f2780,,19.04,60.58,0.0,36.945,-0.45,5.84,3.06,175.19,0.0,0.0,0.039,0.0,,,0,0,1,foot_compression,foot_compression
9-BZ7/8-C-NCAP VRU 2024 (VUT)/17-CPNCO [O.6.1.7]/18-CPNCO-25 5 kph AEB (Day)/616-VUT 60 kph; CPNCO-25 5 kph AEB (Day)/V9_T616_R2.txt,9-BZ7,CPNCO,robot_channel_active,94f74fdece56749b5acce82f5a12563ce8ef68827e5018aa55a115a304394003,,18.93,60.5,0.0,25.528,-1.58,3.05,0.96,130.44,0.0,0.0,0.031,0.0,,,0,0,1,foot_compression,foot_compression
Guang_Qi_A66_data/2-C-NCAP VRU 2024 (VUT)/28-CBNAO [O.6.2.5]/29-CBNAO-50 15 kph AEB (Day)/140-VUT 60 kph; CBNAO-50 15 kph AEB (Day)/V3_T140_R1.txt,Guang_Qi_A66_data,AEB,robot_channel_active,b9820b5809c5529ed8d71b0246bd4041ea62af1dd862d8ded675e10cacfc1a76,,12.16,60.29,0.13,40.751,-0.34,0.73,-0.66,0.83,0.0,0.0,3.046,0.2633,2.21,,0,0,,aeb_pedal_dragged,robot_joined_mid_window
Guang_Qi_A66_data/2-C-NCAP VRU 2024 (VUT)/30-CSFAO [O.6.2.6]/31-CSFAO-50 20 kph AEB (Day)/143-VUT 60 kph; CSFAO-50 20 kph AEB (Day)/V3_T143_R1.txt,Guang_Qi_A66_data,AEB,robot_channel_active,484e3e16b03ea0208cbc7c0aeebd71058aa9e61009069151298327de469e922e,,12.32,60.38,0.072,45.27,-0.59,0.48,-0.66,1.09,0.0,0.0,3.938,0.2614,1.78,,0,0,,aeb_pedal_dragged,robot_joined_mid_window
Guang_Qi_A66_data/2-C-NCAP VRU 2024 (VUT)/32-CBLA [O.6.2.7]/33-CBLA-25 15 kph AEB (Day)/116-VUT 20 kph; CBLA-25 15 kph AEB (Day)/V3_T116_R1.txt,Guang_Qi_A66_data,CBLA,robot_channel_active,1fbf967126e2e0c9445dd0d467a9beb14c594b32b2d8db002bb93523080bab6a,,24.13,20.46,0.062,20.414,-0.46,0.24,-0.44,0.2,0.0,0.0,3.565,0.0067,2.98,,0,0,,aeb_pedal_dragged,robot_joined_mid_window
Guang_Qi_A66_data/2-C-NCAP VRU 2024 (VUT)/32-CBLA [O.6.2.7]/33-CBLA-25 15 kph AEB (Day)/119-VUT 40 kph; CBLA-25 15 kph AEB (Day)/V3_T119_R1.txt,Guang_Qi_A66_data,CBLA,robot_channel_active,7cbf635330774ff52116a3b36728daba3cdcff91b321bb519deebc08f53996b9,,27.53,40.46,0.017,26.327,-0.36,0.44,-0.36,0.4,0.0,0.0,2.43,0.1033,2.69,,0,0,,aeb_pedal_dragged,robot_joined_mid_window
