run,rel_dist_at_onset_m,min_rel_dist_m,min_rel_dist_rel_s,first_contact_rel_s,speed_at_first_contact_kph,outcome
14-BZ3X/10-C-NCAP VRU 2024 (VUT)/12-CPLA [O.6.1.6]/13-CPLA-25 5 kph AEB (Day)/578-VUT 55 kph; CPLA-25 5 kph AEB (Day)-ciasi/V14_T578_R3.txt,14.484,3.458,1.49,,,clear
14-BZ3X/10-C-NCAP VRU 2024 (VUT)/12-CPLA [O.6.1.6]/15-CPLA-25 5 kph AEB (Night)/455-VUT 20 kph; CPLA-25 5 kph AEB (Night)/V14_T455_R1.txt,2.22,0.931,0.53,,,clear
14-BZ3X/10-C-NCAP VRU 2024 (VUT)/12-CPLA [O.6.1.6]/15-CPLA-25 5 kph AEB (Night)/455-VUT 20 kph; CPLA-25 5 kph AEB (Night)/V14_T455_R2.txt,2.867,1.673,0.47,,,clear
14-BZ3X/10-C-NCAP VRU 2024 (VUT)/12-CPLA [O.6.1.6]/15-CPLA-25 5 kph AEB (Night)/455-VUT 20 kph; CPLA-25 5 kph AEB (Night)/V14_T455_R3.txt,3.013,1.771,0.51,,,clear
14-BZ3X/10-C-NCAP VRU 2024 (VUT)/12-CPLA [O.6.1.6]/15-CPLA-25 5 kph AEB (Night)/461-VUT 40 kph; CPLA-25 5 kph AEB (Night)/V14_T461_R1.txt,8.733,3.182,1.06,,,clear
14-BZ3X/10-C-NCAP VRU 2024 (VUT)/12-CPLA [O.6.1.6]/15-CPLA-25 5 kph AEB (Night)/461-VUT 40 kph; CPLA-25 5 kph AEB (Night)/V14_T461_R2.txt,8.234,2.721,1.06,,,clear
14-BZ3X/10-C-NCAP VRU 2024 (VUT)/12-CPLA [O.6.1.6]/15-CPLA-25 5 kph AEB (Night)/461-VUT 40 kph; CPLA-25 5 kph AEB (Night)/V14_T461_R3.txt,8.138,2.67,1.03,,,clear
14-BZ3X/10-C-NCAP VRU 2024 (VUT)/17-CPNCO [O.6.1.7]/18-CPNCO-25 5 kph AEB (Day)/476-VUT 20 kph; CPNCO-25 5 kph AEB (Day)/V14_T476_R1.txt,4.347,2.274,0.68,,,clear
14-BZ3X/10-C-NCAP VRU 2024 (VUT)/17-CPNCO [O.6.1.7]/18-CPNCO-25 5 kph AEB (Day)/476-VUT 20 kph; CPNCO-25 5 kph AEB (Day)/V14_T476_R2.txt,4.48,2.454,0.65,,,clear
14-BZ3X/10-C-NCAP VRU 2024 (VUT)/17-CPNCO [O.6.1.7]/18-CPNCO-25 5 kph AEB (Day)/476-VUT 20 kph; CPNCO-25 5 kph AEB (Day)/V14_T476_R3.txt,3.683,1.565,0.68,,,clear
14-BZ3X/10-C-NCAP VRU 2024 (VUT)/17-CPNCO [O.6.1.7]/18-CPNCO-25 5 kph AEB (Day)/485-VUT 40 kph; CPNCO-25 5 kph AEB (Day)/V14_T485_R1.txt,8.115,0.664,1.24,,,clear
14-BZ3X/10-C-NCAP VRU 2024 (VUT)/17-CPNCO [O.6.1.7]/18-CPNCO-25 5 kph AEB (Day)/485-VUT 40 kph; CPNCO-25 5 kph AEB (Day)/V14_T485_R2.txt,8.411,0.907,1.27,,,clear
14-BZ3X/10-C-NCAP VRU 2024 (VUT)/17-CPNCO [O.6.1.7]/18-CPNCO-25 5 kph AEB (Day)/485-VUT 40 kph; CPNCO-25 5 kph AEB (Day)/V14_T485_R3.txt,8.013,0.601,1.25,,,clear
14-BZ3X/10-C-NCAP VRU 2024 (VUT)/17-CPNCO [O.6.1.7]/18-CPNCO-25 5 kph AEB (Day)/494-VUT 60 kph; CPNCO-25 5 kph AEB (Day)/V14_T494_R2.txt,11.568,-4.658,1.9,0.87,32.77,passed_or_swept
14-BZ3X/10-C-NCAP VRU 2024 (VUT)/17-CPNCO [O.6.1.7]/18-CPNCO-25 5 kph AEB (Day)/494-VUT 60 kph; CPNCO-25 5 kph AEB (Day)/V14_T494_R3.txt,11.656,-4.489,1.86,0.88,33.33,passed_or_swept
14-BZ3X/10-C-NCAP VRU 2024 (VUT)/17-CPNCO [O.6.1.7]/18-CPNCO-25 5 kph AEB (Day)/607-VUT 20 kph; CPNDOC-50 5 kph AEB (Day)-CIASI/V14_T607_R1.txt,4.423,2.369,0.65,,,clear
14-BZ3X/10-C-NCAP VRU 2024 (VUT)/17-CPNCO [O.6.1.7]/18-CPNCO-25 5 kph AEB (Day)/607-VUT 20 kph; CPNDOC-50 5 kph AEB (Day)-CIASI/V14_T607_R2.txt,4.549,2.516,0.66,,,clear
14-BZ3X/10-C-NCAP VRU 2024 (VUT)/17-CPNCO [O.6.1.7]/18-CPNCO-25 5 kph AEB (Day)/607-VUT 20 kph; CPNDOC-50 5 kph AEB (Day)-CIASI/V14_T607_R3.txt,4.079,2.037,0.65,,,clear
14-BZ3X/10-C-NCAP VRU 2024 (VUT)/17-CPNCO [O.6.1.7]/18-CPNCO-25 5 kph AEB (Day)/610-VUT 30 kph; CPNDOC-50 5 kph AEB (Day)-CIASI/V14_T610_R1.txt,6.314,2.07,0.92,,,clear
14-BZ3X/10-C-NCAP VRU 2024 (VUT)/17-CPNCO [O.6.1.7]/18-CPNCO-25 5 kph AEB (Day)/610-VUT 30 kph; CPNDOC-50 5 kph AEB (Day)-CIASI/V14_T610_R2.txt,5.634,1.329,0.95,,,clear
14-BZ3X/10-C-NCAP VRU 2024 (VUT)/17-CPNCO [O.6.1.7]/18-CPNCO-25 5 kph AEB (Day)/610-VUT 30 kph; CPNDOC-50 5 kph AEB (Day)-CIASI/V14_T610_R3.txt,5.891,1.538,0.95,,,clear
14-BZ3X/10-C-NCAP VRU 2024 (VUT)/17-CPNCO [O.6.1.7]/18-CPNCO-25 5 kph AEB (Day)/613-VUT 40 kph; CPNSOC-50 kph AEB (Day)-CIASI/V14_T613_R1.txt,9.469,2.176,1.22,,,clear
14-BZ3X/10-C-NCAP VRU 2024 (VUT)/17-CPNCO [O.6.1.7]/18-CPNCO-25 5 kph AEB (Day)/613-VUT 40 kph; CPNSOC-50 kph AEB (Day)-CIASI/V14_T613_R2.txt,10.251,2.841,1.23,,,clear
