run,vehicle,label,y_aeb,scenario,onset_speed_kph,peak_deceleration_magnitude_mps2,effective_constant_deceleration_distance_mps2,time_onset_to_peak_s,event_duration_s,br_position_travel_mm,brake_force_max_n,jerk_p95_mps3,lateral_velocity_delta_peak_mps,yaw_rate_delta_peak_dps,heading_change_deg,speed_rebound_kph,positive_speed_step_fraction,brake_pulse_count
9-BZ7/8-C-NCAP VRU 2024 (VUT)/12-CPLA [O.6.1.6]/15-CPLA-25 5 kph AEB (Night)/583-VUT 40 kph; CPLA-25 5 kph AEB (Night) (1)/V9_T583_R2.txt,9-BZ7,operator_confirmed_aeb_response,1,CPLA,39.434,9.872,8.027,0.59,1.3,22.029,19.778,49.525142824334665,0.08275900036096574,4.110005999449636,0.2727966308589771,2.639957070350649,0.06428571428571428,2
Guang_Qi_A66_data/3-C-NCAP ADAS 2024 (VUT)/9-CCR [L.6.1]/10-AEB/11-CCRs/189-VUT 40 kph; CCRs -50 % AEB/V3_T189_R1.txt,Guang_Qi_A66_data,operator_confirmed_aeb_response,1,CCRS,40.301,11.188,8.636,1.07,1.16,25.336,8.353,67.51816442742032,0.02601080969907346,0.8736332282423973,0.1943359375,3.323059678077697,0.07518796992481203,2
Guang_Qi_E8_data/4-Cal/1707-O6.2.7-CPLA-VUT-AEB-20.5kph-(-25%)/V5_T1707_R1.txt,Guang_Qi_E8_data,operator_confirmed_aeb_response,1,CPLA,20.477,11.461,7.562,0.4,0.64,23.255,2.099,64.56817411315376,0.017517412663437416,0.8253853805363177,0.0765686035160229,2.508752107620235,0.09813084112149532,2
XPengP7+_data/9-C-NCAP VRU 2024 (VUT)/22-CPTA-LN [O.6.1.9]/23-CPTA-LN 5 kph AEB (Day)/1170-VUT 10 kph; CPTA-LN 5 kph AEB (Day)/V2_T1170_R2.txt,XPengP7+_data,operator_confirmed_aeb_response,1,CPTA,10.712,9.664,4.209,0.54,0.59,33.113,32.474,57.02517011362222,0.32922535389661806,18.25972437858582,23.388854980467954,1.628858923912048,0.04784688995215311,2
Guang_Qi_S9_data/5-C-NCAP VRU 2024 (VUT)/17-CPNCO [O.6.1.7]/18-CPNCO-25 5 kph AEB (Day)/249-VUT 20 kph; CPNCO-25 5 kph AEB (Day)/V4_T249_R1.txt,Guang_Qi_S9_data,operator_confirmed_aeb_response,1,CPNCO,20.378,9.632,7.063,0.5,0.69,14.611,12.686,58.63443111535592,0.013192618265748,1.6001451853662774,0.169913798570633,2.706062674522401,0.1004566210045662,2
8-huajingS/5-C-NCAP ADAS 2024 (VUT)/38-CCFT [L.6.1.9]/39-AEB/40-Farside/42-GVT 40 kph/134-VUT 20 kph; CCFT 40 kph AEB/V8_T134_R3.txt,8-huajingS,operator_confirmed_aeb_response,1,CCFT,20.183,10.759,4.867,0.52,0.85,17.495,0.013,65.85996410397743,0.1316873561590906,10.12298083305356,10.042297363281023,2.218581318855282,0.07234042553191489,2
9-BZ7/7-C-IASI VRU 2024 (VUT)/19-CPFAO [O.6.1.8]/21-CPNA-25 5 kph AEB (Night)/451-VUT 40 kph; CPFAO-25 6.5 kph AEB (Night) (1)/V9_T451_R2.txt,9-BZ7,operator_confirmed_aeb_response,1,CPNA,39.445,9.809,7.992,0.47,1.33,26.659,14.585,56.72188932357025,0.1859874734655025,12.433273185975864,1.5597229003899997,2.802876055240632,0.06007067137809187,2
8-huajingS/5-C-NCAP ADAS 2024 (VUT)/15-SCP [L.6.1.7]/16-AEB/17-Farside/18-GVT 20 kph/103-VUT 30 kph; CCScp Farside GVT 20 kph AEB/V8_T103_R1.txt,8-huajingS,operator_confirmed_aeb_response,1,SCP,30.451,10.525,7.958,0.87,0.97,18.087,18.642,66.60659206322035,0.15822948701679726,1.4485629480332158,0.24298095703102263,2.6606573462486285,0.05668016194331984,2
9-BZ7/7-C-IASI VRU 2024 (VUT)/32-CBLA [O.6.2.7]/33-CBLA-50 45 kph& 65 Kph AEB (Day)/490-VUT 65 kph; CBLA-50 15 kph AEB (Day) (1)/V9_T490_R1.txt,9-BZ7,operator_confirmed_aeb_response,1,CBLA,64.228,11.11,9.097,1.54,1.82,39.921,15.665,53.64348990888471,0.0566307529807091,2.2425231463275854,0.5127868652350003,2.846696317195889,0.060240963855421686,2
9-BZ7/6-C-NCAP ADAS 2024 (VUT)/15-SCP [L.6.1.7]/16-AEB/17-Farside/18-GVT 20 kph/275-VUT 30 kph; CCScp Farside GVT 20 kph AEB (1)/V9_T275_R2.txt,9-BZ7,operator_confirmed_aeb_response,1,SCP,29.119,10.241,8.306,0.5,0.89,25.171,13.128,64.59815957951008,0.04963052738457915,3.9299250356852986,0.3439331054689774,3.029366254806514,0.07531380753138076,2
